"","State","ABV"
"1"," DC",0.0625
"2"," KY",0.0625
"3"," MI",0.062
"4"," NM",0.062
"5"," WV",0.062
"6"," CO",0.0605
"7"," AL",0.06
"8"," CT",0.06
"9"," NV",0.06
"10"," OK",0.06
"11"," SD",0.06
"12"," CA",0.058
"13"," IL",0.058
"14"," IN",0.058
"15"," MD",0.058
"16"," MS",0.058
"17"," OH",0.058
"18"," FL",0.057
"19"," NC",0.057
"20"," PA",0.057
"21"," TN",0.057
"22"," ID",0.0565
"23"," VA",0.0565
"24"," AK",0.056
"25"," MN",0.056
"26"," NE",0.056
"27"," OR",0.056
"28"," IA",0.0555
"29"," WA",0.0555
"30"," AZ",0.055
"31"," DE",0.055
"32"," GA",0.055
"33"," MT",0.055
"34"," NH",0.055
"35"," NY",0.055
"36"," RI",0.055
"37"," SC",0.055
"38"," TX",0.055
"39"," VT",0.055
"40"," HI",0.054
"41"," MA",0.054
"42"," AR",0.052
"43"," LA",0.052
"44"," MO",0.052
"45"," WI",0.052
"46"," ME",0.051
"47"," KS",0.05
"48"," ND",0.05
"49"," WY",0.05
"50"," NJ",0.046
"51"," UT",0.04
