"","State","IBU"
"1"," ME",61
"2"," WV",57.5
"3"," FL",55
"4"," GA",55
"5"," DE",52
"6"," NM",51
"7"," NH",48.5
"8"," DC",47.5
"9"," NY",47
"10"," AK",46
"11"," MS",45
"12"," MN",44.5
"13"," AL",43
"14"," CA",42
"15"," VA",42
"16"," NV",41
"17"," CO",40
"18"," MT",40
"19"," OH",40
"20"," OR",40
"21"," AR",39
"22"," ID",39
"23"," WA",38
"24"," TN",37
"25"," MA",35
"26"," MI",35
"27"," NE",35
"28"," OK",35
"29"," NJ",34.5
"30"," UT",34
"31"," NC",33.5
"32"," IN",33
"33"," TX",33
"34"," ND",32
"35"," KY",31.5
"36"," LA",31.5
"37"," IL",30
"38"," PA",30
"39"," SC",30
"40"," VT",30
"41"," CT",29
"42"," MD",29
"43"," IA",26
"44"," MO",24
"45"," RI",24
"46"," HI",22.5
"47"," WY",21
"48"," AZ",20.5
"49"," KS",20
"50"," WI",19
